"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","402web.fr/83.166.138.63","443","INFO","HTTP","",""
"pre_128cipher","402web.fr/83.166.138.63","443","INFO","No 128 cipher limit bug","",""
"SSLv2","402web.fr/83.166.138.63","443","OK","not offered","",""
"SSLv3","402web.fr/83.166.138.63","443","OK","not offered","",""
"TLS1","402web.fr/83.166.138.63","443","INFO","not offered","",""
"TLS1_1","402web.fr/83.166.138.63","443","INFO","not offered","",""
"TLS1_2","402web.fr/83.166.138.63","443","OK","offered","",""
"TLS1_3","402web.fr/83.166.138.63","443","OK","offered with final","",""
"ALPN_HTTP2","402web.fr/83.166.138.63","443","OK","h2","",""
"ALPN","402web.fr/83.166.138.63","443","INFO","http/1.1","",""
"cipherlist_NULL","402web.fr/83.166.138.63","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","402web.fr/83.166.138.63","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","402web.fr/83.166.138.63","443","OK","not offered","","CWE-327"
"cipherlist_LOW","402web.fr/83.166.138.63","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","402web.fr/83.166.138.63","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","402web.fr/83.166.138.63","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","402web.fr/83.166.138.63","443","INFO","not offered","",""
"cipherlist_STRONG_FS","402web.fr/83.166.138.63","443","OK","offered","",""
"cipher_order-tls1_2","402web.fr/83.166.138.63","443","OK","server","",""
"cipherorder_TLSv1_2","402web.fr/83.166.138.63","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","402web.fr/83.166.138.63","443","OK","server","",""
"FS","402web.fr/83.166.138.63","443","OK","offered","",""
"FS_ciphers","402web.fr/83.166.138.63","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","402web.fr/83.166.138.63","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","402web.fr/83.166.138.63","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","402web.fr/83.166.138.63","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","402web.fr/83.166.138.63","443","INFO","yes","",""
"sessionresumption_ticket","402web.fr/83.166.138.63","443","INFO","not supported","",""
"sessionresumption_ID","402web.fr/83.166.138.63","443","INFO","supported","",""
"TLS_timestamp","402web.fr/83.166.138.63","443","INFO","random","",""
"certificate_compression","402web.fr/83.166.138.63","443","INFO","none","",""
"clientAuth","402web.fr/83.166.138.63","443","INFO","none","",""
"cert_numbers","402web.fr/83.166.138.63","443","INFO","1","",""
"cert_signatureAlgorithm","402web.fr/83.166.138.63","443","OK","SHA256 with RSA","",""
"cert_keySize","402web.fr/83.166.138.63","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","402web.fr/83.166.138.63","443","INFO","No server key usage information","",""
"cert_extKeyUsage","402web.fr/83.166.138.63","443","INFO","No server extended key usage information","",""
"cert_serialNumber","402web.fr/83.166.138.63","443","INFO","C49E189240B97E2E","",""
"cert_serialNumberLen","402web.fr/83.166.138.63","443","INFO","8","",""
"cert_fingerprintSHA1","402web.fr/83.166.138.63","443","INFO","F6315C5B3FEC9D260FB318E1E825EBAA92697239","",""
"cert_fingerprintSHA256","402web.fr/83.166.138.63","443","INFO","EBA1F3607E8FBB1C664F296739996DF51C298E6BA7021E663C5206AACE797A1B","",""
"cert","402web.fr/83.166.138.63","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDVDCCAjwCCQDEnhiSQLl+LjANBgkqhkiG9w0BAQsFADBsMQswCQYDVQQGEwJDSDEPMA0GA1UECAwGR2VuZXZhMRAwDgYDVQQHDAdDYXJvdWdlMRIwEAYDVQQKDAk0MDJ3ZWIuZnIxEjAQBgNVBAsMCTQwMndlYi5mcjESMBAGA1UEAwwJNDAyd2ViLmZyMB4XDTIxMDIyMjA3NDA1NVoXDTMxMDIyMDA3NDA1NVowbDELMAkGA1UEBhMCQ0gxDzANBgNVBAgMBkdlbmV2YTEQMA4GA1UEBwwHQ2Fyb3VnZTESMBAGA1UECgwJNDAyd2ViLmZyMRIwEAYDVQQLDAk0MDJ3ZWIuZnIxEjAQBgNVBAMMCTQwMndlYi5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAM1AGxmTkntytl0jggO5aq4XFlQnXs7RkzSTHcklc/MZQh3k021pjXetFitzl2IntCK1jE9lUGJnd40DMR1ZoFjWXJvbgrwAytFxyQcSXkGQOKKNIoOI5zEyEmB/qD1rIv7NV/87CkTSvwKTQdRT2GddzJ425o+XwXhavL6TNpUIjFCpJsSt6B0PMGXNCCMoW8MAUvge8bgOJUBbKOrZycSiiddWXojPXBmOGK0HVp+Ua0cD4JTPfJsmfAxeqA0D+3/dZLFx8BlQAPPMNAtfL32rzUm47h/ZTvFlgETJEFP2yVBQuS11LUpkahKQwVcFNqmqQmiRQGBiMS+tqapICjkCAwEAATANBgkqhkiG9w0BAQsFAAOCAQEAgiJuEjwo95nRzsnLFBRTR6gufaGdME235mzK8uLa2EXCRkvOAkiFASnpBIjN64vuSgA7zAZLCGxeejDhD3Qal628308ztu6nuOw5Ln9Bg5hIDRErc1mPkxYs4skY94otDsXI/B2jrIGZGSBwFKtFLU121Ncnuvo4rKHjNFX/obVibFupX8UZkhzzsS10VBIHjgTHkZd9BxXS0xT0ucF2KLcexTV9gceqZf8H+/48SzNnLeaoqCd5JivlUxPgi7Myw9b7ce1gtjBWWVsjqmuqcVqNrVG3VkqLuDG2zJEpJuac0Ielh+oF07ybZMVZRxD8e+zY3QJvNbrV3c5f64eJ7w==\n-----END CERTIFICATE-----","",""
"cert_commonName","402web.fr/83.166.138.63","443","OK","402web.fr","",""
"cert_commonName_wo_SNI","402web.fr/83.166.138.63","443","INFO","preview.infomaniak.website","",""
"cert_subjectAltName","402web.fr/83.166.138.63","443","HIGH","No SAN, browsers are complaining","",""
"cert_trust","402web.fr/83.166.138.63","443","HIGH","via CN only (w/o SNI: certificate does not match supplied URI)","",""
"cert_chain_of_trust","402web.fr/83.166.138.63","443","CRITICAL","failed (self signed).","",""
"cert_certificatePolicies_EV","402web.fr/83.166.138.63","443","INFO","no","",""
"cert_expirationStatus","402web.fr/83.166.138.63","443","OK","2566 >= 60 days","",""
"cert_notBefore","402web.fr/83.166.138.63","443","INFO","2021-02-22 07:40","",""
"cert_notAfter","402web.fr/83.166.138.63","443","OK","2031-02-20 07:40","",""
"cert_extlifeSpan","402web.fr/83.166.138.63","443","HIGH","3650 days","",""
"cert_eTLS","402web.fr/83.166.138.63","443","INFO","not present","",""
"cert_crlDistributionPoints","402web.fr/83.166.138.63","443","INFO","--","",""
"cert_ocspURL","402web.fr/83.166.138.63","443","INFO","--","",""
"cert_revocation","402web.fr/83.166.138.63","443","HIGH","Neither CRL nor OCSP URI provided","",""
"OCSP_stapling","402web.fr/83.166.138.63","443","INFO","not offered","",""
"cert_mustStapleExtension","402web.fr/83.166.138.63","443","INFO","--","",""
"DNS_CAArecord","402web.fr/83.166.138.63","443","LOW","--","",""
"certificate_transparency","402web.fr/83.166.138.63","443","INFO","--","",""
"certs_countServer","402web.fr/83.166.138.63","443","INFO","1","",""
"certs_list_ordering_problem","402web.fr/83.166.138.63","443","INFO","no","",""
"cert_caIssuers","402web.fr/83.166.138.63","443","INFO","402web.fr (402web.fr from CH)","",""
"intermediate_cert_badOCSP","402web.fr/83.166.138.63","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","402web.fr/83.166.138.63","443","WARN","Unexpected 503 Service Unavailable @ '/'","",""
"HTTP_clock_skew","402web.fr/83.166.138.63","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","402web.fr/83.166.138.63","443","INFO","1707613164","",""
"HSTS_time","402web.fr/83.166.138.63","443","OK","185 days (=16000000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","402web.fr/83.166.138.63","443","INFO","only for this domain","",""
"HSTS_preload","402web.fr/83.166.138.63","443","INFO","domain is NOT marked for preloading","",""
"HPKP","402web.fr/83.166.138.63","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","402web.fr/83.166.138.63","443","INFO","Apache","",""
"banner_application","402web.fr/83.166.138.63","443","INFO","No application banner found","",""
"cookie_count","402web.fr/83.166.138.63","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"Upgrade","402web.fr/83.166.138.63","443","INFO","h2","",""
"banner_reverseproxy","402web.fr/83.166.138.63","443","INFO","--","","CWE-200"
"heartbleed","402web.fr/83.166.138.63","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","402web.fr/83.166.138.63","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","402web.fr/83.166.138.63","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","402web.fr/83.166.138.63","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","402web.fr/83.166.138.63","443","OK","supported","","CWE-310"
"secure_client_renego","402web.fr/83.166.138.63","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","402web.fr/83.166.138.63","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","402web.fr/83.166.138.63","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","402web.fr/83.166.138.63","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","402web.fr/83.166.138.63","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","402web.fr/83.166.138.63","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","402web.fr/83.166.138.63","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","402web.fr/83.166.138.63","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","402web.fr/83.166.138.63","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=EBA1F3607E8FBB1C664F296739996DF51C298E6BA7021E663C5206AACE797A1B","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM-common_primes","402web.fr/83.166.138.63","443","INFO","HAProxy","CVE-2015-4000","CWE-310"
"LOGJAM","402web.fr/83.166.138.63","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"BEAST","402web.fr/83.166.138.63","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","402web.fr/83.166.138.63","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","402web.fr/83.166.138.63","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","402web.fr/83.166.138.63","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","402web.fr/83.166.138.63","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","402web.fr/83.166.138.63","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","402web.fr/83.166.138.63","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_12","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_79_win10","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_66_win81","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_6_xp","402web.fr/83.166.138.63","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","402web.fr/83.166.138.63","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","402web.fr/83.166.138.63","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","402web.fr/83.166.138.63","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win81","402web.fr/83.166.138.63","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_winphone81","402web.fr/83.166.138.63","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","402web.fr/83.166.138.63","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","402web.fr/83.166.138.63","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_121_ios_122","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_154_osx_1231","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","402web.fr/83.166.138.63","443","INFO","No connection","",""
"clientsimulation-java_8u161","402web.fr/83.166.138.63","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java1703","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_283","402web.fr/83.166.138.63","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-openssl_102e","402web.fr/83.166.138.63","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","402web.fr/83.166.138.63","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","402web.fr/83.166.138.63","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","402web.fr/83.166.138.63","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"rating_spec","402web.fr/83.166.138.63","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","402web.fr/83.166.138.63","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","402web.fr/83.166.138.63","443","INFO","0","",""
"protocol_support_score_weighted","402web.fr/83.166.138.63","443","INFO","0","",""
"key_exchange_score","402web.fr/83.166.138.63","443","INFO","0","",""
"key_exchange_score_weighted","402web.fr/83.166.138.63","443","INFO","0","",""
"cipher_strength_score","402web.fr/83.166.138.63","443","INFO","0","",""
"cipher_strength_score_weighted","402web.fr/83.166.138.63","443","INFO","0","",""
"final_score","402web.fr/83.166.138.63","443","INFO","0","",""
"overall_grade","402web.fr/83.166.138.63","443","CRITICAL","T","",""
"grade_cap_reason_1","402web.fr/83.166.138.63","443","INFO","Grade capped to T. Issues with the chain of trust (self signed)","",""
