"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lesmurmuresdulignon.com/83.166.138.125","443","INFO","HTTP","",""
"pre_128cipher","lesmurmuresdulignon.com/83.166.138.125","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lesmurmuresdulignon.com/83.166.138.125","443","OK","not offered","",""
"SSLv3","lesmurmuresdulignon.com/83.166.138.125","443","OK","not offered","",""
"TLS1","lesmurmuresdulignon.com/83.166.138.125","443","INFO","not offered","",""
"TLS1_1","lesmurmuresdulignon.com/83.166.138.125","443","INFO","not offered","",""
"TLS1_2","lesmurmuresdulignon.com/83.166.138.125","443","OK","offered","",""
"TLS1_3","lesmurmuresdulignon.com/83.166.138.125","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","lesmurmuresdulignon.com/83.166.138.125","443","OK","h2","",""
"ALPN","lesmurmuresdulignon.com/83.166.138.125","443","INFO","http/1.1","",""
"cipherlist_NULL","lesmurmuresdulignon.com/83.166.138.125","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lesmurmuresdulignon.com/83.166.138.125","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lesmurmuresdulignon.com/83.166.138.125","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lesmurmuresdulignon.com/83.166.138.125","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lesmurmuresdulignon.com/83.166.138.125","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","lesmurmuresdulignon.com/83.166.138.125","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","lesmurmuresdulignon.com/83.166.138.125","443","OK","offered","",""
"cipherlist_STRONG","lesmurmuresdulignon.com/83.166.138.125","443","OK","offered","",""
"cipherorder_TLSv1_2","lesmurmuresdulignon.com/83.166.138.125","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","lesmurmuresdulignon.com/83.166.138.125","443","OK","server","",""
"protocol_negotiated","lesmurmuresdulignon.com/83.166.138.125","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","lesmurmuresdulignon.com/83.166.138.125","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","lesmurmuresdulignon.com/83.166.138.125","443","OK","offered","",""
"FS_ciphers","lesmurmuresdulignon.com/83.166.138.125","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","lesmurmuresdulignon.com/83.166.138.125","443","OK","prime256v1","",""
"TLS_extensions","lesmurmuresdulignon.com/83.166.138.125","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","lesmurmuresdulignon.com/83.166.138.125","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","lesmurmuresdulignon.com/83.166.138.125","443","INFO","yes","",""
"sessionresumption_ticket","lesmurmuresdulignon.com/83.166.138.125","443","INFO","supported","",""
"sessionresumption_ID","lesmurmuresdulignon.com/83.166.138.125","443","INFO","supported","",""
"TLS_timestamp","lesmurmuresdulignon.com/83.166.138.125","443","INFO","random","",""
"cert_compression","lesmurmuresdulignon.com/83.166.138.125","443","INFO","N/A","",""
"clientAuth","lesmurmuresdulignon.com/83.166.138.125","443","INFO","none","",""
"cert_numbers","lesmurmuresdulignon.com/83.166.138.125","443","INFO","1","",""
"cert_signatureAlgorithm","lesmurmuresdulignon.com/83.166.138.125","443","OK","SHA256 with RSA","",""
"cert_keySize","lesmurmuresdulignon.com/83.166.138.125","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","lesmurmuresdulignon.com/83.166.138.125","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","lesmurmuresdulignon.com/83.166.138.125","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","lesmurmuresdulignon.com/83.166.138.125","443","INFO","04A286AD13DBF2C6BB9DC492EBDAE40A9912","",""
"cert_serialNumberLen","lesmurmuresdulignon.com/83.166.138.125","443","INFO","18","",""
"cert_fingerprintSHA1","lesmurmuresdulignon.com/83.166.138.125","443","INFO","3B33D0AA49089BD81C16501660478B8EC9B63B2D","",""
"cert_fingerprintSHA256","lesmurmuresdulignon.com/83.166.138.125","443","INFO","DFEF826301C9D1A0998AC7B4BBFB6ED6B0B0897E016C2B27444C15F96B3F3368","",""
"cert","lesmurmuresdulignon.com/83.166.138.125","443","INFO","-----BEGIN CERTIFICATE----- MIIFUjCCBDqgAwIBAgISBKKGrRPb8sa7ncSS69rkCpkSMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMjA3MzEyMDA3NDhaFw0yMjEwMjkyMDA3NDdaMCIxIDAeBgNVBAMT F2xlc211cm11cmVzZHVsaWdub24uY29tMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8A MIIBCgKCAQEAz63u3khuREMCLwwzDwcDNOBitqF0fvm+FY+jGWSWPqk/lpwkz8ov 6QadtwZkRV3zbfqYrSAapiGy4G+AOg2kBFsvPl9LUse7Qd4eDbvdsuLL6oVv9hqh EUdiPSLJ5zEx16iiKAXcrq53aLE9bCi5YYCDzzusy0TpPPWJxOOSrUIZhnpkgCnO qUi3gWobxgxIXHI0ag5K6b7Yq2v0hoEZ+HMxuveklHKkDfBjlMXm4+KPq5iwzckX GHpgc5kKn/v/k0cinsKtDGYJkAmUt8L3zoaQAa5S+ppL8CvyjZIvBktAl20Fz8kU jEYo/iSffYRiLAC0d4MHvWYtd5bi8qJUfQIDAQABo4ICcDCCAmwwDgYDVR0PAQH/ BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8E AjAAMB0GA1UdDgQWBBRbvkCMCagXJW699yYJrRThlBX4FTAfBgNVHSMEGDAWgBQU LrMXt1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGG FWh0dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmku bGVuY3Iub3JnLzA/BgNVHREEODA2ghdsZXNtdXJtdXJlc2R1bGlnbm9uLmNvbYIb d3d3Lmxlc211cm11cmVzZHVsaWdub24uY29tMEwGA1UdIARFMEMwCAYGZ4EMAQIB MDcGCysGAQQBgt8TAQEBMCgwJgYIKwYBBQUHAgEWGmh0dHA6Ly9jcHMubGV0c2Vu Y3J5cHQub3JnMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHYAKXm+8J45OSHwVnOf Y6V35b5XfZxgCvj5TV0mXCVdx4QAAAGCVhYoiAAABAMARzBFAiEAylurDdIExQJ9 pdf46XUspCVHrFEIhAnCMm+3YqN4dfkCIHrMfbrLEi0CDo3x0JjvFSzsZmq98Hkm YPqBo81D+d1FAHcAQcjKsd8iRkoQxqE6CUKHXk4xixsD6+tLx2jwkGKWBvYAAAGC VhYovgAABAMASDBGAiEA+BB4asVg8Mx92tF6QRVIEttlOnNqe7Ua/8S80bUyZPIC IQDQfxbEyHG7zqWTq0hCYnzQAkQcO+0Zs6CqKHPFSRggVDANBgkqhkiG9w0BAQsF AAOCAQEAku/tQvNsWHi4GLpKrc+NoZvUNhl1d45EczfH5PfoX0oqotPDeX8Mvs62 KqQuqyE6f8MEwF6PXQp+KJpOys/HXfzN6UVFomCCBp0RJMT5jGNmK9hbMnHf6seI AQZwrYtBXGvONyNkC+GcCjG0C3e2E2bdL1dx6kkSw/OJEcPHW8qWcDMNYJb1dYCV 7a+uw6HQINc5ag4pMabViOt0Wl6HE2ZVt3l4jV7WCoEcYKnu5QaBM4HdnwU43xJJ fd/+NnqyyEVWyz9WCCrzEeD+85ElB9m2ysbJGIn3g7zVpIhfYuH3y76QyNWgrjEt RN53qzP8HG/5QFtZ5PbXp1Oh3o2Hvg== -----END CERTIFICATE-----","",""
"cert_commonName","lesmurmuresdulignon.com/83.166.138.125","443","OK","lesmurmuresdulignon.com","",""
"cert_commonName_wo_SNI","lesmurmuresdulignon.com/83.166.138.125","443","INFO","*.preview.infomaniak.website","",""
"cert_subjectAltName","lesmurmuresdulignon.com/83.166.138.125","443","INFO","lesmurmuresdulignon.com www.lesmurmuresdulignon.com","",""
"cert_trust","lesmurmuresdulignon.com/83.166.138.125","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","lesmurmuresdulignon.com/83.166.138.125","443","OK","passed.","",""
"cert_certificatePolicies_EV","lesmurmuresdulignon.com/83.166.138.125","443","INFO","no","",""
"cert_expirationStatus","lesmurmuresdulignon.com/83.166.138.125","443","MEDIUM","expires < 30 days (27)","",""
"cert_notBefore","lesmurmuresdulignon.com/83.166.138.125","443","INFO","2022-07-31 20:07","",""
"cert_notAfter","lesmurmuresdulignon.com/83.166.138.125","443","MEDIUM","2022-10-29 20:07","",""
"cert_extlifeSpan","lesmurmuresdulignon.com/83.166.138.125","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","lesmurmuresdulignon.com/83.166.138.125","443","INFO","not present","",""
"cert_crlDistributionPoints","lesmurmuresdulignon.com/83.166.138.125","443","INFO","--","",""
"cert_ocspURL","lesmurmuresdulignon.com/83.166.138.125","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","lesmurmuresdulignon.com/83.166.138.125","443","LOW","not offered","",""
"cert_mustStapleExtension","lesmurmuresdulignon.com/83.166.138.125","443","INFO","--","",""
"DNS_CAArecord","lesmurmuresdulignon.com/83.166.138.125","443","LOW","--","",""
"certificate_transparency","lesmurmuresdulignon.com/83.166.138.125","443","OK","yes (certificate extension)","",""
"certs_countServer","lesmurmuresdulignon.com/83.166.138.125","443","INFO","3","",""
"certs_list_ordering_problem","lesmurmuresdulignon.com/83.166.138.125","443","INFO","no","",""
"cert_caIssuers","lesmurmuresdulignon.com/83.166.138.125","443","INFO","R3 (Let's Encrypt from US)","",""
